Indicator,ParentLocation,Location,Period,FactValueNumeric
Generalist medical practitioners (number),Europe,Poland,2016,16052
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2016,16659
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2016,16781
Generalist medical practitioners (number),Africa,Guinea-Bissau,2016,169
Generalist medical practitioners (number),South-East Asia,Thailand,2016,17199
Generalist medical practitioners (number),Africa,Zimbabwe,2016,1754
Generalist medical practitioners (number),South-East Asia,Maldives,2016,177
Generalist medical practitioners (number),Americas,Chile,2016,20807
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2016,2107
Generalist medical practitioners (number),Europe,Iceland,2016,213
Generalist medical practitioners (number),Africa,Comoros,2016,216
Generalist medical practitioners (number),Americas,Panama,2016,2353
Generalist medical practitioners (number),Africa,Malawi,2016,255
Generalist medical practitioners (number),Europe,Portugal,2016,26100
Generalist medical practitioners (number),Africa,Senegal,2016,267
Generalist medical practitioners (number),Africa,Congo,2016,269
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2016,27060
Generalist medical practitioners (number),Europe,Lithuania,2016,2873
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2016,31743
Generalist medical practitioners (number),Americas,Honduras,2016,3176
Generalist medical practitioners (number),Europe,Spain,2016,34797
Generalist medical practitioners (number),Europe,Croatia,2016,3406
Generalist medical practitioners (number),Western Pacific,Australia,2016,38061
Generalist medical practitioners (number),Europe,Turkmenistan,2016,4349
Generalist medical practitioners (number),Americas,Suriname,2016,436
Generalist medical practitioners (number),Europe,Russian Federation,2016,44220
Generalist medical practitioners (number),Europe,Greece,2016,4521
Generalist medical practitioners (number),Europe,Denmark,2016,4585
Generalist medical practitioners (number),Europe,Türkiye,2016,46107
Generalist medical practitioners (number),Europe,Bulgaria,2016,4610
Generalist medical practitioners (number),Europe,Norway,2016,4702
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2016,4771
Generalist medical practitioners (number),Americas,Costa Rica,2016,4922
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2016,50080
Generalist medical practitioners (number),Americas,Uruguay,2016,5021
Generalist medical practitioners (number),Europe,Luxembourg,2016,505
Generalist medical practitioners (number),Europe,Italy,2016,54063
Generalist medical practitioners (number),Western Pacific,New Zealand,2016,6089
Generalist medical practitioners (number),Europe,Sweden,2016,6378
Generalist medical practitioners (number),Eastern Mediterranean,Tunisia,2016,6752
Generalist medical practitioners (number),Europe,Georgia,2016,6775
Generalist medical practitioners (number),Europe,Finland,2016,7349
Generalist medical practitioners (number),Americas,Colombia,2016,75387
Generalist medical practitioners (number),Europe,Germany,2016,79004
Generalist medical practitioners (number),Western Pacific,Singapore,2016,7920
Generalist medical practitioners (number),Africa,Seychelles,2016,82
Generalist medical practitioners (number),Europe,Ireland,2016,8514
Generalist medical practitioners (number),Europe,France,2016,93840
Generalist medical practitioners (number),Europe,Israel,2016,9424
Generalist medical practitioners (number),Americas,Jamaica,2016,950
Generalist medical practitioners (number),Europe,Switzerland,2016,9601
Generalist medical practitioners (number),Americas,Mexico,2015,101057
Generalist medical practitioners (number),Africa,Rwanda,2015,1042
Generalist medical practitioners (number),Europe,Estonia,2015,1052
Generalist medical practitioners (number),Europe,Belgium,2015,12693
Generalist medical practitioners (number),Europe,Slovenia,2015,1364
Generalist medical practitioners (number),Europe,Latvia,2015,1379
Generalist medical practitioners (number),Europe,Austria,2015,14275
Generalist medical practitioners (number),Europe,Poland,2015,14618
Generalist medical practitioners (number),Europe,Armenia,2015,1498
Generalist medical practitioners (number),Europe,Romania,2015,15270
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2015,16150
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2015,16831
Generalist medical practitioners (number),Europe,Republic of Moldova,2015,1725
Generalist medical practitioners (number),Africa,Zimbabwe,2015,1754
Generalist medical practitioners (number),Americas,Chile,2015,18768
Generalist medical practitioners (number),Europe,Iceland,2015,191
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2015,2106
Generalist medical practitioners (number),Americas,Panama,2015,2274
Generalist medical practitioners (number),South-East Asia,Indonesia,2015,23130
Generalist medical practitioners (number),Europe,Portugal,2015,24940
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2015,26490
Generalist medical practitioners (number),Europe,Montenegro,2015,273
Generalist medical practitioners (number),Europe,Lithuania,2015,2819
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2015,30866
Generalist medical practitioners (number),Europe,Croatia,2015,3248
Generalist medical practitioners (number),Europe,Spain,2015,34735
Generalist medical practitioners (number),Europe,Malta,2015,349
Generalist medical practitioners (number),Western Pacific,Australia,2015,37274
Generalist medical practitioners (number),Americas,Suriname,2015,401
Generalist medical practitioners (number),Europe,Turkmenistan,2015,4255
Generalist medical practitioners (number),Americas,Costa Rica,2015,4373
Generalist medical practitioners (number),Europe,Greece,2015,4396
Generalist medical practitioners (number),Europe,Türkiye,2015,44646
Generalist medical practitioners (number),Europe,Russian Federation,2015,45555
Generalist medical practitioners (number),Europe,Bulgaria,2015,4512
Generalist medical practitioners (number),Europe,Denmark,2015,4575
Generalist medical practitioners (number),Europe,Norway,2015,4592
Generalist medical practitioners (number),Africa,Burundi,2015,467
Generalist medical practitioners (number),Europe,Luxembourg,2015,498
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2015,50169
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2015,5120
Generalist medical practitioners (number),Europe,Georgia,2015,5142
Generalist medical practitioners (number),Europe,Italy,2015,53610
Generalist medical practitioners (number),Western Pacific,New Zealand,2015,5963
Generalist medical practitioners (number),Europe,Serbia,2015,6239
Generalist medical practitioners (number),Europe,Sweden,2015,6338
Generalist medical practitioners (number),Americas,Colombia,2015,72811
Generalist medical practitioners (number),Europe,Finland,2015,7349
Generalist medical practitioners (number),Europe,Cyprus,2015,735
Generalist medical practitioners (number),Europe,Germany,2015,78201
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2015,836
Generalist medical practitioners (number),Europe,Ireland,2015,8610
Generalist medical practitioners (number),Americas,Jamaica,2015,876
Generalist medical practitioners (number),Europe,France,2015,93770
Generalist medical practitioners (number),Europe,Israel,2015,9418
Generalist medical practitioners (number),Europe,Switzerland,2015,9570
Generalist medical practitioners (number),Africa,Togo,2015,97
Generalist medical practitioners (number),Eastern Mediterranean,Morocco,2014,10288
Generalist medical practitioners (number),Europe,Estonia,2014,1057
Generalist medical practitioners (number),Europe,Belgium,2014,12560
Generalist medical practitioners (number),Europe,Slovenia,2014,1284
Generalist medical practitioners (number),Europe,Poland,2014,13744
Generalist medical practitioners (number),Europe,Latvia,2014,1394
Generalist medical practitioners (number),Europe,Austria,2014,14130
Generalist medical practitioners (number),Europe,Uzbekistan,2014,14958
Generalist medical practitioners (number),Africa,Zimbabwe,2014,1458
Generalist medical practitioners (number),Europe,Armenia,2014,1493
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2014,15657
Generalist medical practitioners (number),Europe,Romania,2014,15740
Generalist medical practitioners (number),Europe,Ukraine,2014,16249
Generalist medical practitioners (number),Americas,Chile,2014,17234
Generalist medical practitioners (number),Europe,Republic of Moldova,2014,1728
Generalist medical practitioners (number),Europe,Iceland,2014,188
Generalist medical practitioners (number),Eastern Mediterranean,Iraq,2014,19376
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2014,1920
Generalist medical practitioners (number),Europe,Portugal,2014,23748
Generalist medical practitioners (number),Europe,Montenegro,2014,245
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2014,25611
Generalist medical practitioners (number),Western Pacific,Brunei Darussalam,2014,262
Generalist medical practitioners (number),Europe,Lithuania,2014,2769
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2014,30299
Generalist medical practitioners (number),Europe,Spain,2014,34880
Generalist medical practitioners (number),Europe,Malta,2014,346
Generalist medical practitioners (number),Europe,Croatia,2014,3502
Generalist medical practitioners (number),Western Pacific,Australia,2014,36192
Generalist medical practitioners (number),Europe,Türkiye,2014,41542
Generalist medical practitioners (number),Europe,Turkmenistan,2014,4207
Generalist medical practitioners (number),Europe,Greece,2014,4307
Generalist medical practitioners (number),Europe,Denmark,2014,4499
Generalist medical practitioners (number),Europe,Norway,2014,4595
Generalist medical practitioners (number),Europe,Russian Federation,2014,46025
Generalist medical practitioners (number),South-East Asia,Maldives,2014,464
Generalist medical practitioners (number),Europe,Bulgaria,2014,4703
Generalist medical practitioners (number),Europe,Georgia,2014,4757
Generalist medical practitioners (number),Europe,Luxembourg,2014,489
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2014,50595
Generalist medical practitioners (number),Eastern Mediterranean,Oman,2014,5012
Generalist medical practitioners (number),Europe,Monaco,2014,51
Generalist medical practitioners (number),Europe,Italy,2014,53463
Generalist medical practitioners (number),Western Pacific,New Zealand,2014,5447
Generalist medical practitioners (number),Africa,Burundi,2014,556
Generalist medical practitioners (number),Europe,Kazakhstan,2014,6243
Generalist medical practitioners (number),Europe,Sweden,2014,6255
Generalist medical practitioners (number),Europe,Serbia,2014,6440
Generalist medical practitioners (number),Europe,Cyprus,2014,680
Generalist medical practitioners (number),Americas,Colombia,2014,70503
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2014,753
Generalist medical practitioners (number),Europe,Finland,2014,7588
Generalist medical practitioners (number),Americas,Jamaica,2014,783
Generalist medical practitioners (number),Europe,Germany,2014,80210
Generalist medical practitioners (number),Europe,Ireland,2014,8214
Generalist medical practitioners (number),Europe,Azerbaijan,2014,8307
Generalist medical practitioners (number),Africa,Rwanda,2014,834
Generalist medical practitioners (number),Europe,Israel,2014,8724
Generalist medical practitioners (number),Europe,Switzerland,2014,9225
Generalist medical practitioners (number),Europe,France,2014,93772
Generalist medical practitioners (number),Americas,Mexico,2014,94559
Generalist medical practitioners (number),Europe,Ireland,2013,10781
Generalist medical practitioners (number),Americas,Jamaica,2013,1044
Generalist medical practitioners (number),Europe,Estonia,2013,1052
Generalist medical practitioners (number),Europe,Belgium,2013,12483
Generalist medical practitioners (number),Europe,Poland,2013,12846
Generalist medical practitioners (number),Europe,Slovenia,2013,1204
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2013,1237
Generalist medical practitioners (number),Europe,Austria,2013,13924
Generalist medical practitioners (number),Europe,Latvia,2013,1357
Generalist medical practitioners (number),Europe,Uzbekistan,2013,14028
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2013,14941
Generalist medical practitioners (number),Europe,Romania,2013,15923
Generalist medical practitioners (number),Europe,Armenia,2013,1527
Generalist medical practitioners (number),Americas,Chile,2013,16073
Generalist medical practitioners (number),Europe,Albania,2013,1622
Generalist medical practitioners (number),Europe,Ukraine,2013,17711
Generalist medical practitioners (number),Europe,Republic of Moldova,2013,1792
Generalist medical practitioners (number),Europe,Iceland,2013,188
Generalist medical practitioners (number),Europe,North Macedonia,2013,2017
Generalist medical practitioners (number),Europe,Portugal,2013,22744
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2013,24498
Generalist medical practitioners (number),Europe,Montenegro,2013,241
Generalist medical practitioners (number),Europe,Lithuania,2013,2709
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2013,29752
Generalist medical practitioners (number),Africa,Madagascar,2013,3028
Generalist medical practitioners (number),Europe,Croatia,2013,3335
Generalist medical practitioners (number),Europe,Malta,2013,340
Generalist medical practitioners (number),South-East Asia,Timor-Leste,2013,345
Generalist medical practitioners (number),Europe,Greece,2013,3494
Generalist medical practitioners (number),Europe,Spain,2013,35017
Generalist medical practitioners (number),Western Pacific,Australia,2013,35126
Generalist medical practitioners (number),Western Pacific,Tonga,2013,36
Generalist medical practitioners (number),Europe,Georgia,2013,3964
Generalist medical practitioners (number),Europe,Türkiye,2013,41040
Generalist medical practitioners (number),Europe,Turkmenistan,2013,4156
Generalist medical practitioners (number),Europe,Russian Federation,2013,43099
Generalist medical practitioners (number),Europe,Norway,2013,4437
Generalist medical practitioners (number),Europe,Denmark,2013,4459
Generalist medical practitioners (number),Europe,Luxembourg,2013,467
Generalist medical practitioners (number),Europe,Bulgaria,2013,4743
Generalist medical practitioners (number),Africa,Burundi,2013,486
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2013,49875
Generalist medical practitioners (number),Western Pacific,New Zealand,2013,5196
Generalist medical practitioners (number),Europe,Kazakhstan,2013,5232
Generalist medical practitioners (number),Europe,Italy,2013,53525
Generalist medical practitioners (number),Europe,Monaco,2013,55
Generalist medical practitioners (number),Africa,Rwanda,2013,609
Generalist medical practitioners (number),Europe,Sweden,2013,6186
Generalist medical practitioners (number),Europe,Serbia,2013,6480
Generalist medical practitioners (number),Americas,Colombia,2013,67471
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2013,731
Generalist medical practitioners (number),Europe,Czechia,2013,7371
Generalist medical practitioners (number),Europe,Finland,2013,7417
Generalist medical practitioners (number),Europe,Germany,2013,78608
Generalist medical practitioners (number),Europe,Azerbaijan,2013,8708
Generalist medical practitioners (number),Europe,Israel,2013,8814
Generalist medical practitioners (number),Europe,Switzerland,2013,8986
Generalist medical practitioners (number),Americas,Mexico,2013,90656
Generalist medical practitioners (number),Europe,France,2013,93526
Generalist medical practitioners (number),Europe,Ireland,2012,11288
Generalist medical practitioners (number),Europe,Slovenia,2012,1127
Generalist medical practitioners (number),Europe,Belgium,2012,12363
Generalist medical practitioners (number),Europe,Poland,2012,12645
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2012,1232
Generalist medical practitioners (number),Europe,Uzbekistan,2012,13117
Generalist medical practitioners (number),Europe,Austria,2012,13657
Generalist medical practitioners (number),Europe,Latvia,2012,1338
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2012,14248
Generalist medical practitioners (number),Americas,Chile,2012,14974
Generalist medical practitioners (number),Europe,Armenia,2012,1554
Generalist medical practitioners (number),Europe,Romania,2012,16741
Generalist medical practitioners (number),Europe,Ukraine,2012,16835
Generalist medical practitioners (number),Europe,Albania,2012,1603
Generalist medical practitioners (number),Europe,Iceland,2012,184
Generalist medical practitioners (number),Europe,Republic of Moldova,2012,1857
Generalist medical practitioners (number),Europe,Montenegro,2012,204
Generalist medical practitioners (number),Europe,North Macedonia,2012,2063
Generalist medical practitioners (number),Europe,Portugal,2012,22125
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2012,24135
Generalist medical practitioners (number),Europe,Lithuania,2012,2697
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2012,28931
Generalist medical practitioners (number),South-East Asia,Indonesia,2012,33256
Generalist medical practitioners (number),Europe,Malta,2012,335
Generalist medical practitioners (number),Europe,Croatia,2012,3371
Generalist medical practitioners (number),Europe,Greece,2012,3456
Generalist medical practitioners (number),Europe,Spain,2012,35061
Generalist medical practitioners (number),Western Pacific,Australia,2012,35538
Generalist medical practitioners (number),Europe,Türkiye,2012,41401
Generalist medical practitioners (number),Europe,Georgia,2012,4172
Generalist medical practitioners (number),Europe,Turkmenistan,2012,4178
Generalist medical practitioners (number),Europe,Norway,2012,4317
Generalist medical practitioners (number),Europe,Luxembourg,2012,441
Generalist medical practitioners (number),Europe,Denmark,2012,4481
Generalist medical practitioners (number),Europe,Russian Federation,2012,45276
Generalist medical practitioners (number),Africa,Burundi,2012,475
Generalist medical practitioners (number),Europe,Bulgaria,2012,4789
Generalist medical practitioners (number),Europe,Monaco,2012,48
Generalist medical practitioners (number),Western Pacific,New Zealand,2012,4998
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2012,50008
Generalist medical practitioners (number),Europe,Kazakhstan,2012,5240
Generalist medical practitioners (number),Europe,Italy,2012,53994
Generalist medical practitioners (number),Europe,Sweden,2012,6093
Generalist medical practitioners (number),Americas,Colombia,2012,64615
Generalist medical practitioners (number),Europe,Serbia,2012,6495
Generalist medical practitioners (number),Western Pacific,Solomon Islands,2012,65
Generalist medical practitioners (number),Europe,Finland,2012,7188
Generalist medical practitioners (number),Americas,Jamaica,2012,726
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2012,738
Generalist medical practitioners (number),Europe,Czechia,2012,7386
Generalist medical practitioners (number),Europe,Germany,2012,75390
Generalist medical practitioners (number),Europe,Switzerland,2012,8618
Generalist medical practitioners (number),Americas,Mexico,2012,88987
Generalist medical practitioners (number),Europe,Israel,2012,8850
Generalist medical practitioners (number),Europe,Azerbaijan,2012,8871
Generalist medical practitioners (number),Europe,France,2012,92865
Generalist medical practitioners (number),Europe,Estonia,2012,959
Generalist medical practitioners (number),Europe,Estonia,2011,1001
Generalist medical practitioners (number),Europe,Slovenia,2011,1085
Generalist medical practitioners (number),Europe,Ireland,2011,11366
Generalist medical practitioners (number),Europe,Belgium,2011,12290
Generalist medical practitioners (number),Europe,Uzbekistan,2011,12774
Generalist medical practitioners (number),Europe,Austria,2011,13403
Generalist medical practitioners (number),South-East Asia,Sri Lanka,2011,13679
Generalist medical practitioners (number),Europe,Latvia,2011,1328
Generalist medical practitioners (number),Europe,Poland,2011,14525
Generalist medical practitioners (number),Americas,Chile,2011,14873
Generalist medical practitioners (number),Africa,Cameroon,2011,1420
Generalist medical practitioners (number),Europe,Ukraine,2011,15856
Generalist medical practitioners (number),Europe,Albania,2011,1540
Generalist medical practitioners (number),Africa,Benin,2011,157
Generalist medical practitioners (number),Europe,Armenia,2011,1581
Generalist medical practitioners (number),Europe,Romania,2011,17718
Generalist medical practitioners (number),Europe,Iceland,2011,185
Generalist medical practitioners (number),Europe,Republic of Moldova,2011,1877
Generalist medical practitioners (number),Europe,Montenegro,2011,190
Generalist medical practitioners (number),Europe,North Macedonia,2011,1933
Generalist medical practitioners (number),Europe,Portugal,2011,21917
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2011,23301
Generalist medical practitioners (number),Europe,Lithuania,2011,2679
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2011,29015
Generalist medical practitioners (number),Europe,Malta,2011,315
Generalist medical practitioners (number),Africa,Burundi,2011,317
Generalist medical practitioners (number),Europe,Georgia,2011,3273
Generalist medical practitioners (number),Europe,Croatia,2011,3299
Generalist medical practitioners (number),Europe,Greece,2011,3369
Generalist medical practitioners (number),Europe,Spain,2011,34722
Generalist medical practitioners (number),Europe,Türkiye,2011,41840
Generalist medical practitioners (number),Europe,Norway,2011,4140
Generalist medical practitioners (number),Europe,Luxembourg,2011,424
Generalist medical practitioners (number),Europe,Denmark,2011,4422
Generalist medical practitioners (number),Europe,Turkmenistan,2011,4438
Generalist medical practitioners (number),Europe,Russian Federation,2011,47075
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2011,49838
Generalist medical practitioners (number),Europe,Bulgaria,2011,4905
Generalist medical practitioners (number),Western Pacific,New Zealand,2011,4974
Generalist medical practitioners (number),Europe,Monaco,2011,51
Generalist medical practitioners (number),Europe,Kazakhstan,2011,5155
Generalist medical practitioners (number),Europe,Italy,2011,53856
Generalist medical practitioners (number),Europe,Sweden,2011,5960
Generalist medical practitioners (number),Americas,Colombia,2011,62099
Generalist medical practitioners (number),Europe,Serbia,2011,6730
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2011,709
Generalist medical practitioners (number),Europe,Finland,2011,7160
Generalist medical practitioners (number),Europe,Czechia,2011,7369
Generalist medical practitioners (number),Europe,Germany,2011,75252
Generalist medical practitioners (number),Africa,Sierra Leone,2011,79
Generalist medical practitioners (number),Europe,Switzerland,2011,8356
Generalist medical practitioners (number),Europe,Azerbaijan,2011,8604
Generalist medical practitioners (number),Americas,Mexico,2011,87031
Generalist medical practitioners (number),Europe,Israel,2011,8874
Generalist medical practitioners (number),Europe,France,2011,92683
Generalist medical practitioners (number),Europe,France,2010,103262
Generalist medical practitioners (number),Europe,Slovenia,2010,1044
Generalist medical practitioners (number),Europe,Uzbekistan,2010,12114
Generalist medical practitioners (number),Europe,Belgium,2010,12228
Generalist medical practitioners (number),Europe,Ireland,2010,12475
Generalist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2010,1211
Generalist medical practitioners (number),Americas,Honduras,2010,1241
Generalist medical practitioners (number),Europe,Austria,2010,13219
Generalist medical practitioners (number),Europe,Latvia,2010,1311
Generalist medical practitioners (number),Americas,Chile,2010,15066
Generalist medical practitioners (number),Europe,Armenia,2010,1580
Generalist medical practitioners (number),Europe,Ukraine,2010,16090
Generalist medical practitioners (number),Africa,Benin,2010,160
Generalist medical practitioners (number),Europe,Albania,2010,1620
Generalist medical practitioners (number),Europe,Poland,2010,17484
Generalist medical practitioners (number),Europe,Romania,2010,18210
Generalist medical practitioners (number),Europe,Iceland,2010,182
Generalist medical practitioners (number),Europe,North Macedonia,2010,1823
Generalist medical practitioners (number),Europe,Republic of Moldova,2010,1899
Generalist medical practitioners (number),Europe,Montenegro,2010,195
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2010,20848
Generalist medical practitioners (number),Europe,Portugal,2010,21170
Generalist medical practitioners (number),Europe,Lithuania,2010,2381
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2010,27203
Generalist medical practitioners (number),Europe,Malta,2010,278
Generalist medical practitioners (number),Europe,Georgia,2010,3146
Generalist medical practitioners (number),Europe,Croatia,2010,3350
Generalist medical practitioners (number),Africa,Mauritania,2010,338
Generalist medical practitioners (number),Europe,Greece,2010,3391
Generalist medical practitioners (number),Europe,Spain,2010,34620
Generalist medical practitioners (number),Africa,Burundi,2010,343
Generalist medical practitioners (number),Europe,Norway,2010,4039
Generalist medical practitioners (number),Europe,Türkiye,2010,41077
Generalist medical practitioners (number),Europe,Luxembourg,2010,414
Generalist medical practitioners (number),Europe,Denmark,2010,4397
Generalist medical practitioners (number),Europe,Turkmenistan,2010,4439
Generalist medical practitioners (number),Europe,Russian Federation,2010,47754
Generalist medical practitioners (number),Europe,Switzerland,2010,4748
Generalist medical practitioners (number),Western Pacific,New Zealand,2010,4757
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2010,48641
Generalist medical practitioners (number),Europe,Bulgaria,2010,4961
Generalist medical practitioners (number),Europe,Kazakhstan,2010,5106
Generalist medical practitioners (number),Europe,Italy,2010,52944
Generalist medical practitioners (number),Europe,Sweden,2010,5895
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2010,668
Generalist medical practitioners (number),Europe,Finland,2010,6773
Generalist medical practitioners (number),Europe,Serbia,2010,7031
Generalist medical practitioners (number),Europe,Czechia,2010,7369
Generalist medical practitioners (number),Europe,Germany,2010,74113
Generalist medical practitioners (number),Americas,Mexico,2010,81715
Generalist medical practitioners (number),Europe,Israel,2010,8801
Generalist medical practitioners (number),Europe,Azerbaijan,2010,8884
Generalist medical practitioners (number),Africa,Zimbabwe,2010,954
Generalist medical practitioners (number),Europe,Estonia,2010,979
Generalist medical practitioners (number),Africa,Zimbabwe,2009,1002
Generalist medical practitioners (number),Europe,Slovenia,2009,1017
Generalist medical practitioners (number),Europe,France,2009,103349
Generalist medical practitioners (number),Europe,Uzbekistan,2009,11629
Generalist medical practitioners (number),Europe,Ireland,2009,12150
Generalist medical practitioners (number),Europe,Belgium,2009,12286
Generalist medical practitioners (number),Europe,Austria,2009,12979
Generalist medical practitioners (number),Europe,Latvia,2009,1315
Generalist medical practitioners (number),Europe,Armenia,2009,1552
Generalist medical practitioners (number),Europe,Ukraine,2009,16503
Generalist medical practitioners (number),Europe,Poland,2009,16937
Generalist medical practitioners (number),Europe,Albania,2009,1606
Generalist medical practitioners (number),Europe,Romania,2009,17830
Generalist medical practitioners (number),Europe,North Macedonia,2009,1784
Generalist medical practitioners (number),Europe,Iceland,2009,186
Generalist medical practitioners (number),Europe,Republic of Moldova,2009,1929
Generalist medical practitioners (number),Europe,Portugal,2009,20221
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2009,20813
Generalist medical practitioners (number),Europe,Montenegro,2009,208
Generalist medical practitioners (number),Europe,Lithuania,2009,2383
Generalist medical practitioners (number),Americas,Suriname,2009,255
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2009,26521
Generalist medical practitioners (number),Europe,Malta,2009,274
Generalist medical practitioners (number),Europe,Georgia,2009,2977
Generalist medical practitioners (number),Europe,Greece,2009,3124
Generalist medical practitioners (number),Europe,Croatia,2009,3264
Generalist medical practitioners (number),Western Pacific,Australia,2009,33384
Generalist medical practitioners (number),Europe,Spain,2009,33958
Generalist medical practitioners (number),Western Pacific,New Zealand,2009,3554
Generalist medical practitioners (number),Europe,Türkiye,2009,37980
Generalist medical practitioners (number),Europe,Norway,2009,3877
Generalist medical practitioners (number),Europe,Luxembourg,2009,395
Generalist medical practitioners (number),Europe,Kazakhstan,2009,4157
Generalist medical practitioners (number),Europe,Denmark,2009,4350
Generalist medical practitioners (number),Europe,Turkmenistan,2009,4538
Generalist medical practitioners (number),Europe,Switzerland,2009,4683
Generalist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2009,49437
Generalist medical practitioners (number),Europe,Bulgaria,2009,5198
Generalist medical practitioners (number),Europe,Italy,2009,52657
Generalist medical practitioners (number),Europe,Sweden,2009,5873
Generalist medical practitioners (number),Europe,Bosnia and Herzegovina,2009,646
Generalist medical practitioners (number),Europe,Serbia,2009,6916
Generalist medical practitioners (number),Europe,Germany,2009,71218
Generalist medical practitioners (number),Europe,Czechia,2009,7366
Generalist medical practitioners (number),Africa,Comoros,2009,80
Generalist medical practitioners (number),Americas,Mexico,2009,80646
Generalist medical practitioners (number),Europe,Azerbaijan,2009,8504
Generalist medical practitioners (number),Europe,Israel,2009,8738
Generalist medical practitioners (number),Europe,Finland,2009,8809
Generalist medical practitioners (number),Europe,Estonia,2009,979
Generalist medical practitioners (number),Europe,Uzbekistan,2008,10965
Generalist medical practitioners (number),Europe,Estonia,2008,1020
Generalist medical practitioners (number),Europe,France,2008,104225
Generalist medical practitioners (number),Europe,Belgium,2008,12273
Generalist medical practitioners (number),Europe,Austria,2008,12735
Generalist medical practitioners (number),Europe,Latvia,2008,1323
Generalist medical practitioners (number),Europe,Ireland,2008,14446
Generalist medical practitioners (number),Europe,Armenia,2008,1495
Generalist medical practitioners (number),Europe,Ukraine,2008,15735
Generalist medical practitioners (number),Europe,Poland,2008,17092
Generalist medical practitioners (number),Europe,North Macedonia,2008,1786
Generalist medical practitioners (number),Europe,Romania,2008,18567
Generalist medical practitioners (number),Europe,Iceland,2008,187
Generalist medical practitioners (number),Europe,Portugal,2008,19538
Generalist medical practitioners (number),Africa,Malawi,2008,190
Generalist medical practitioners (number),Europe,Republic of Moldova,2008,1961
Generalist medical practitioners (number),Europe,Netherlands (Kingdom of the),2008,20436
Generalist medical practitioners (number),Europe,Lithuania,2008,2351
Generalist medical practitioners (number),Europe,Montenegro,2008,237
Generalist medical practitioners (number),Europe,Georgia,2008,2408
Generalist medical practitioners (number),Western Pacific,Republic of Korea,2008,25324
Generalist medical practitioners (number),Europe,Croatia,2008,2960
Generalist medical practitioners (number),Europe,Greece,2008,3057
Generalist medical practitioners (number),Western Pacific,Australia,2008,31931
Generalist medical practitioners (number),Europe,Spain,2008,33349
Generalist medical practitioners (number),Western Pacific,New Zealand,2008,3628
Generalist medical practitioners (number),Europe,Türkiye,2008,37600
Generalist medical practitioners (number),Europe,Norway,2008,3889
Generalist medical practitioners (number),Europe,Luxembourg,2008,397
Generalist medical practitioners (number),Europe,Denmark,2008,4344
Generalist medical practitioners (number),Europe,Kazakhstan,2008,4372
Generalist medical practitioners (number),Europe,Turkmenistan,2008,4467
Generalist medical practitioners (number),Europe,Switzerland,2008,4581
