충전소이름,이용가능시간,자세한 위치,주차비,등록일자
남해지사,24시간,정문 우측,충전시 무료,2016.10.27 0:00
창원축구센터,주중/주말 : 24시간,안내실옆 지상주차장,주차비 없음,2016.10.27 0:00
노원도봉지사,24시간,1층 주차장,무료,2016.10.27 0:00
경산지사,06시 ~ 23시,1층주차장,부가정보없음,2016.10.27 0:00
(고속도로)오창휴게소 하남방향,주중/주말 : 24시간,오창휴게소(상) 진입로 우측 건물 정면,주차비 없음,2016.10.27 0:00
서울역 KTX빌딩,06시 ~ 23시,부가정보없음,부가정보없음,2016.10.27 0:00
상계동아불암아파트,24시간,제2주차장 B3 6번,없음,2017.11.29 16:53
자동차등록사무소,06~23시,(실외완전노출)자동차 등록사무소 입구,무료,2017.11.17 9:29
하남제일풍경채2단지,24시간,지하주차장 201동 입구 앞,입주민 전용,2017.7.4 0:00
고잔3차푸르지오,24시간,B1F 07,0,2017.8.25 0:00
동양덱스빌,24시간,지하주차장,없음,2017.8.25 0:00
안산고잔7차푸르지오아파트,24시간,B1F,0,2017.10.27 11:58
범어현대 아파트,24시간,"101, 102동 사이 주차장",무료,2017.7.9 0:00
한주럭키타운,24시간  ※외부인 개방,7동10동 사이 지상주차장,무료,2017.7.9 0:00
담양지사,주중/주말 : 06시~23시,(실외완전노출) 지사 우측 주차장,충전시 무료,2016.10.27 0:00
보성지사,주중/주말 : 06시~23시,(실외캐노피기설)진입 후 좌측 주차장,충전시 무료,2016.10.27 0:00
서울대학교,24시간,부가정보없음,부가정보없음,2016.10.27 0:00
판교역 환승주차장,24시간,판교역 환승주차장,부가정보없음,2016.10.27 0:00
방이동숙소,24시간,정문 지상주차장 안쪽 끝,충전시 무료,2016.10.27 0:00
길음역,06시 ~ 23시,부가정보없음,부가정보없음,2016.10.27 0:00
송파현대힐스테이트,24시간,지하1층 (좌) B8 기둥,부가정보없음,2017.7.4 0:00
김천지사,24시간,지상주차장(좌측),충전시 무료,2016.10.27 0:00
개봉영화 아파트,24시간,지하1층 102동 54번 기둥 뒤,부가정보없음,2017.8.12 0:00
경남1차 아파트,24시간,지하1층 101동,부가정보없음,2017.8.12 0:00
광주전남직할(공용),평일06시~23시(주말 24시간),(실외캐노피기설) 정문 주차장 우측,부가정보없음,2016.10.27 0:00
천왕이펜하우스2단지,24시간,지하2층 주차장 42번기둥,관리사무소,2017.8.12 0:00
장성지사(공용),주중/주말 : 06시~23시,(실외캐노피기설)사옥 정문 주차장왼쪽,충전시 무료,2016.10.27 0:00
동대구지사,(공용) 24시간 / 업무용(일과),사옥 정문(공용) /  후문(업무용),충전시 무료,2016.10.27 0:00
부산울산직할,09~23시,주차장진입후 본관건물 뒷편 주차장,충전시 무료,2016.10.27 0:00
영도지사,24시간,주차장 입구 좌측,충전시 무료,2016.10.27 0:00
경남직할,24시간,정문진입 20m 좌측,충전시 무료,2016.10.27 0:00
의창구청,주중/주말 : 24시간,쎄씨헤어 앞,주차비 없음,2016.10.27 0:00
진주지사(공용),24시간,건물정면 오른쪽 지상주차장,무료,2016.10.27 0:00
강진전력지사,06시 ~ 23시,부가정보없음,부가정보없음,2016.10.27 0:00
범어화산샬레,24시간,102동 지상2층,부가정보없음,2017.4.12 19:06
시지월드메르디앙,24시간,105동 지하 1층 주차장,부가정보없음,2017.4.12 19:06
앞산힐스테이트,24시간,지하주차장(103동 옆),부가정보없음,2017.4.12 19:06
KOMIPO행복마루,24시간,지하주차장,0,2017.4.12 19:06
노은해랑숲마을5단지,24시간  ※외부인 개방,아파트 502동 지하,부가정보없음,2017.4.12 19:06
범지기마을6단지,24시간,"지하2층 주차장(601동, 84BL)",부가정보없음,2017.4.12 19:06
펜타포트1블럭,24시간,주차장 5층,부가정보없음,2017.4.12 19:06
양산웅상신원아침도시,24시간,지하주차장107동라인 C2번 주차장 입구,무료,2017.4.12 19:06
운양동 풍경마을 e편한세상,24시간,지하2층 주차장 209동 앞 (블럭번호 G36),부가정보없음,2017.4.12 19:06
장자마을8단지부영 아파트,24시간  ※외부인 개방,장자마을 8단지 APT 지상주차장 806동 옆,주차비 없음,2017.4.12 19:06
코아루천년가 아파트,24시간,(실내지하) 106동 3-4라인 c7,무료,2017.7.9 0:00
웅천지웰2차아파트,24시간,(실내지하)지하 주차장(D05),0원,2017.7.9 0:00
완도진아리채 아파트,24시간,(실외완전노출) 103동 차량진입로,입주민 주차 가능,2017.7.9 0:00
대구효성해링턴플레이스,24시간  ※외부인 개방,106동 지하주차장,부가정보없음,2017.7.9 0:00
1차그린맨션,24시간,구내 혹은 야외,부가정보없음,2017.7.9 0:00
수성월드메르디앙,24시간,103동 지하주차장,0,2017.7.9 0:00
율하우방아이유쉘,24시간,지하 1층 B1 42구역,0,2017.7.9 0:00
무거위브자이 아파트,24시간,107동 뒷 지하B2/11,무료,2017.7.9 0:00
양산신도시쌍용 아파트,24시간,지하주차장 C구역,무료,2017.7.9 0:00
김해구산주공5단지,24시간  ※외부인 개방,지하주차장(504동앞),무료,2017.7.9 0:00
