NUM OF LOT PER PRODUCT,ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
20,0.5,10.0,10.0,493,0.1,16,92.41666666666667,0
20,0.5,10.0,10.0,493,0.2,16,78.41666666666667,0
20,0.5,10.0,10.0,493,0.30000000000000004,14,47.483333333333334,0
20,0.5,10.0,10.0,493,0.4,8,15.5,5
20,0.5,10.0,10.0,493,0.5,4,3.7666666666666666,8
20,0.5,10.0,10.0,493,0.6,1,1.4833333333333334,11
20,0.5,10.0,10.0,493,0.7000000000000001,1,0.48333333333333334,13
20,0.5,10.0,10.0,493,0.8,0,0.0,15
20,0.5,10.0,10.0,493,0.9,2,2.8666666666666667,17
20,0.5,10.0,10.0,494,0.1,11,77.21666666666667,0
20,0.5,10.0,10.0,494,0.2,10,69.05,0
20,0.5,10.0,10.0,494,0.30000000000000004,8,51.46666666666667,0
20,0.5,10.0,10.0,494,0.4,8,37.46666666666667,0
20,0.5,10.0,10.0,494,0.5,5,22.15,2
20,0.5,10.0,10.0,494,0.6,4,11.966666666666667,5
20,0.5,10.0,10.0,494,0.7000000000000001,5,5.55,7
20,0.5,10.0,10.0,494,0.8,4,8.8,10
20,0.5,10.0,10.0,494,0.9,3,13.833333333333334,12
20,0.5,10.0,10.0,495,0.1,1,6.35,10
20,0.5,10.0,10.0,495,0.2,1,0.75,11
20,0.5,10.0,10.0,495,0.30000000000000004,1,1.1166666666666667,12
20,0.5,10.0,10.0,495,0.4,4,7.3,15
20,0.5,10.0,10.0,495,0.5,3,1.4666666666666666,15
20,0.5,10.0,10.0,495,0.6,4,7.3,15
20,0.5,10.0,10.0,495,0.7000000000000001,5,14.366666666666667,17
20,0.5,10.0,10.0,495,0.8,7,32.766666666666666,19
20,0.5,10.0,10.0,495,0.9,7,27.766666666666666,18
30,0.5,15.0,15.0,486,0.1,28,269.3333333333333,0
30,0.5,15.0,15.0,486,0.2,27,244.9,0
30,0.5,15.0,15.0,486,0.30000000000000004,26,212.61111111111111,0
30,0.5,15.0,15.0,486,0.4,26,172.2888888888889,1
30,0.5,15.0,15.0,486,0.5,25,118.58888888888889,6
30,0.5,15.0,15.0,486,0.6,21,62.522222222222226,11
30,0.5,15.0,15.0,486,0.7000000000000001,22,44.355555555555554,16
30,0.5,15.0,15.0,486,0.8,13,25.955555555555556,19
30,0.5,15.0,15.0,486,0.9,11,22.933333333333334,21
30,0.5,15.0,15.0,487,0.1,16,79.52222222222223,6
30,0.5,15.0,15.0,487,0.2,14,59.6,8
30,0.5,15.0,15.0,487,0.30000000000000004,15,45.111111111111114,8
30,0.5,15.0,15.0,487,0.4,15,32.388888888888886,12
30,0.5,15.0,15.0,487,0.5,13,14.1,16
30,0.5,15.0,15.0,487,0.6,11,5.866666666666666,18
30,0.5,15.0,15.0,487,0.7000000000000001,7,8.744444444444444,22
30,0.5,15.0,15.0,487,0.8,8,31.444444444444443,26
30,0.5,15.0,15.0,487,0.9,7,35.611111111111114,28
30,0.5,15.0,15.0,488,0.1,23,240.54444444444445,0
30,0.5,15.0,15.0,488,0.2,24,222.73333333333332,1
30,0.5,15.0,15.0,488,0.30000000000000004,22,201.12222222222223,1
30,0.5,15.0,15.0,488,0.4,25,146.92222222222222,6
30,0.5,15.0,15.0,488,0.5,26,122.14444444444445,9
30,0.5,15.0,15.0,488,0.6,19,103.94444444444444,13
30,0.5,15.0,15.0,488,0.7000000000000001,16,81.43333333333334,15
30,0.5,15.0,15.0,488,0.8,13,44.51111111111111,16
30,0.5,15.0,15.0,488,0.9,15,35.71111111111111,18
30,0.5,15.0,15.0,489,0.1,3,3.2444444444444445,14
30,0.5,15.0,15.0,489,0.2,3,2.8666666666666667,15
30,0.5,15.0,15.0,489,0.30000000000000004,4,2.6666666666666665,16
30,0.5,15.0,15.0,489,0.4,6,3.588888888888889,17
30,0.5,15.0,15.0,489,0.5,4,1.6111111111111112,19
30,0.5,15.0,15.0,489,0.6,3,2.088888888888889,22
30,0.5,15.0,15.0,489,0.7000000000000001,5,6.355555555555555,24
30,0.5,15.0,15.0,489,0.8,6,8.38888888888889,24
30,0.5,15.0,15.0,489,0.9,8,17.4,26
30,0.5,15.0,15.0,490,0.1,17,75.9,2
30,0.5,15.0,15.0,490,0.2,17,61.233333333333334,5
30,0.5,15.0,15.0,490,0.30000000000000004,13,39.68888888888889,11
30,0.5,15.0,15.0,490,0.4,14,26.9,12
30,0.5,15.0,15.0,490,0.5,11,15.688888888888888,15
30,0.5,15.0,15.0,490,0.6,10,15.8,18
30,0.5,15.0,15.0,490,0.7000000000000001,10,15.622222222222222,20
30,0.5,15.0,15.0,490,0.8,8,21.8,23
30,0.5,15.0,15.0,490,0.9,7,30.68888888888889,25
30,0.5,15.0,15.0,491,0.1,15,112.18888888888888,0
30,0.5,15.0,15.0,491,0.2,15,94.85555555555555,0
30,0.5,15.0,15.0,491,0.30000000000000004,15,77.52222222222223,0
30,0.5,15.0,15.0,491,0.4,11,54.41111111111111,2
30,0.5,15.0,15.0,491,0.5,10,35.7,5
30,0.5,15.0,15.0,491,0.6,8,22.966666666666665,8
30,0.5,15.0,15.0,491,0.7000000000000001,5,13.8,9
30,0.5,15.0,15.0,491,0.8,7,7.266666666666667,12
30,0.5,15.0,15.0,491,0.9,5,7.333333333333333,14
30,0.5,15.0,15.0,492,0.1,18,130.95555555555555,0
30,0.5,15.0,15.0,492,0.2,18,112.95555555555555,0
30,0.5,15.0,15.0,492,0.30000000000000004,17,87.78888888888889,2
30,0.5,15.0,15.0,492,0.4,14,60.75555555555555,5
30,0.5,15.0,15.0,492,0.5,8,39.27777777777778,9
30,0.5,15.0,15.0,492,0.6,8,26.61111111111111,12
30,0.5,15.0,15.0,492,0.7000000000000001,11,17.488888888888887,16
30,0.5,15.0,15.0,492,0.8,6,19.0,18
30,0.5,15.0,15.0,492,0.9,7,34.71111111111111,20
30,0.5,15.0,15.0,493,0.1,17,67.88888888888889,0
30,0.5,15.0,15.0,493,0.2,18,51.855555555555554,0
30,0.5,15.0,15.0,493,0.30000000000000004,16,21.988888888888887,2
30,0.5,15.0,15.0,493,0.4,12,13.1,5
30,0.5,15.0,15.0,493,0.5,8,6.877777777777778,7
30,0.5,15.0,15.0,493,0.6,6,4.411111111111111,8
30,0.5,15.0,15.0,493,0.7000000000000001,5,3.7777777777777777,9
30,0.5,15.0,15.0,493,0.8,3,1.5555555555555556,13
30,0.5,15.0,15.0,493,0.9,0,0.0,18
30,0.5,15.0,15.0,494,0.1,8,36.644444444444446,13
30,0.5,15.0,15.0,494,0.2,6,34.65555555555556,19
