ALPHA_S,ALPHA_E,BETA,SEED,K,TARDY JOB,MEAN TARDINESS,Q TARDY JOB
0.5,2.5,10.0,493,0.1,145,2742.9,67
0.5,2.5,10.0,493,0.2,145,2742.9,67
0.5,2.5,10.0,493,0.30000000000000004,145,2742.9,67
0.5,2.5,10.0,493,0.4,145,2742.9,67
0.5,2.5,10.0,493,0.5,145,2742.9,67
0.5,2.5,10.0,493,0.6,145,2742.9,67
0.5,2.5,10.0,493,0.7000000000000001,145,2742.9,67
0.5,2.5,10.0,493,0.8,145,2742.9,67
0.5,2.5,10.0,493,0.9,145,2742.9,67
0.5,2.5,10.0,494,0.1,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.2,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.30000000000000004,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.4,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.5,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.6,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.7000000000000001,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.8,144,2564.7733333333335,67
0.5,2.5,10.0,494,0.9,145,2564.4533333333334,67
0.5,2.5,10.0,495,0.1,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.2,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.30000000000000004,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.4,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.5,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.6,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.7000000000000001,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.8,144,2722.0466666666666,66
0.5,2.5,10.0,495,0.9,144,2722.0466666666666,66
0.5,2.5,50.0,486,0.1,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.2,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.30000000000000004,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.4,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.5,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.6,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.7000000000000001,144,2542.4333333333334,2
0.5,2.5,50.0,486,0.8,144,2542.286666666667,2
0.5,2.5,50.0,486,0.9,144,2542.286666666667,2
0.5,2.5,50.0,487,0.1,145,2527.72,14
0.5,2.5,50.0,487,0.2,145,2527.72,14
0.5,2.5,50.0,487,0.30000000000000004,145,2527.72,14
0.5,2.5,50.0,487,0.4,145,2527.72,14
0.5,2.5,50.0,487,0.5,145,2527.72,14
0.5,2.5,50.0,487,0.6,145,2527.72,14
0.5,2.5,50.0,487,0.7000000000000001,145,2527.72,14
0.5,2.5,50.0,487,0.8,145,2527.72,14
0.5,2.5,50.0,487,0.9,145,2527.72,14
0.5,2.5,50.0,488,0.1,145,2541.82,34
0.5,2.5,50.0,488,0.2,145,2541.82,34
0.5,2.5,50.0,488,0.30000000000000004,145,2541.82,34
0.5,2.5,50.0,488,0.4,145,2541.82,34
0.5,2.5,50.0,488,0.5,145,2541.82,34
0.5,2.5,50.0,488,0.6,145,2541.76,34
0.5,2.5,50.0,488,0.7000000000000001,145,2541.76,34
0.5,2.5,50.0,488,0.8,145,2541.76,34
0.5,2.5,50.0,488,0.9,145,2541.76,34
0.5,2.5,50.0,489,0.1,144,2531.9733333333334,19
0.5,2.5,50.0,489,0.2,144,2531.9733333333334,19
0.5,2.5,50.0,489,0.30000000000000004,144,2531.9733333333334,19
0.5,2.5,50.0,489,0.4,144,2531.9733333333334,19
0.5,2.5,50.0,489,0.5,144,2531.9733333333334,19
0.5,2.5,50.0,489,0.6,144,2531.9133333333334,19
0.5,2.5,50.0,489,0.7000000000000001,144,2531.9133333333334,19
0.5,2.5,50.0,489,0.8,144,2531.9133333333334,19
0.5,2.5,50.0,489,0.9,144,2531.9133333333334,19
0.5,2.5,50.0,490,0.1,144,2538.12,58
0.5,2.5,50.0,490,0.2,144,2538.12,58
0.5,2.5,50.0,490,0.30000000000000004,144,2538.12,58
0.5,2.5,50.0,490,0.4,144,2538.12,58
